NOME DELLA NOTA,FREQUENZA
DO2,66 Hz 
DO#2,70 Hz 
RE2,74 Hz 
RE#2,78 Hz 
MI2,83 Hz 
FA2,88 Hz 
FA#2,93 Hz 
SOL2,98 Hz 
SOL#2,104 Hz 
LA2,110 Hz 
LA#2,117 Hz 
S12,124 Hz 
DO3,131 Hz 
DO#3,139 Hz 
RE3,147 Hz 
RE#3,156 Hz 
M13,165 Hz 
FA3,175 Hz 
FA#3,185 Hz 
SOL3,196 Hz 
SOL#3,208 Hz 
LA3,220 Hz 
LA#3,233 Hz 
S13,247 Hz 
DO4,262 Hz 
DO#4,277 Hz 
RE4,294 Hz 
RE#4,311 Hz 
MI4,330 Hz 
FA4,349 Hz 
FA#4,370 Hz 
SOL4,392 Hz 
SOL#4,415 Hz 
LA4,440 Hz 
LA#4,466 Hz 
S14,494 Hz 
DO5,523 Hz 
DO#5,554 Hz 
RE5,587 Hz 
RE#5,622 Hz 
M15,659 Hz 
FA5,698 Hz 
FA#5,740 Hz 
SOL5,784 Hz 
SOL#5,831 Hz 
LA5,880 Hz 
LA#5,932 Hz 
S15,988 Hz 
DO6,1046 Hz 
DO#6,1109 Hz 
RE6,1175 Hz 
RE#6,1245 Hz 
M16,1319 Hz 
FA6,1397 Hz 
FA#6,1480 Hz 
SOL6,1568 Hz 
SOL#6,1661 Hz 
LA6,1760 Hz 
LA#6,1865 Hz 
S16,1976 Hz 
DO7,2093 Hz 
DO#7,2217 Hz 
RE7,2349 Hz 
RE#7,2489 Hz 
M17,2637 Hz 
FA7,2794 Hz 
FA#7,2960 Hz 
SOL7,3136 Hz 
SOL#7,3322 Hz 
LA7,3520 Hz 
LA#7,3729 Hz 
S17,3951 Hz 
DO8,4186 Hz 
